original,new,status
IDENTIFYING AN OPTIMIZATION TECHNIQUE FOR MAKER USAGE TO ADDRESS.pdf,IDENTIFYING AN OPTIMIZATION TECHNIQUE FOR MAKER USAGE TO ADDRESS.pdf,skip-pattern-or-unknown
IJET17-09-02-0442.pdf,IJET17-09-02-0442.pdf,skip-pattern-or-unknown
IRJET3D-1.pdf,IRJET3D-1.pdf,skip-pattern-or-unknown
IRJET3D.pdf,IRJET3D.pdf,skip-pattern-or-unknown
International Journal of Chemical Engineering - 2022 - Raja - Optimization of 3D Printing Process Parameters of Polylactic.pdf,International Journal of Chemical Engineering - 2022 - Raja - Optimization of 3D Printing Process Parameters of Polylactic.pdf,skip-pattern-or-unknown
J of Applied Polymer Sci - 2025 - %C3%96zk%C3%BCl - Predicting Mechanical Properties of FDM%E2%80%90Produced Parts Using Machine Learning.pdf,J of Applied Polymer Sci - 2025 - %C3%96zk%C3%BCl - Predicting Mechanical Properties of FDM%E2%80%90Produced Parts Using Machine Learning.pdf,skip-pattern-or-unknown
MACS_Volume 12_Issue Special Issue 2_ Mechanics of Advanced Fiber-Reinforced Composite Structures_Pages 261-270-1.pdf,MACS_Volume 12_Issue Special Issue 2_ Mechanics of Advanced Fiber-Reinforced Composite Structures_Pages 261-270-1.pdf,skip-pattern-or-unknown
MACS_Volume 12_Issue Special Issue 2_ Mechanics of Advanced Fiber-Reinforced Composite Structures_Pages 261-270.pdf,MACS_Volume 12_Issue Special Issue 2_ Mechanics of Advanced Fiber-Reinforced Composite Structures_Pages 261-270.pdf,skip-pattern-or-unknown
Machinelearningbasedmonitoringandoptimizationofprocessingparametersin3Dprinting-1.pdf,Machinelearningbasedmonitoringandoptimizationofprocessingparametersin3Dprinting-1.pdf,skip-pattern-or-unknown
Machinelearningbasedmonitoringandoptimizationofprocessingparametersin3Dprinting.pdf,Machinelearningbasedmonitoringandoptimizationofprocessingparametersin3Dprinting.pdf,skip-pattern-or-unknown
Mechanical properties and numerical simulation of FDM 3D printed PETG:carbon composite unit structures Mechanical properties and numerical simulation of FDM 3D printed PETG:carbon composite unit structures - Alarifi.pdf,Alarifi - Mechanical Properties And Numerical Simulation Of FDM 3D Printed Petg - carbon Composite Unit Structures Mechanical Proper.pdf,renamed
Modeling_and_parametric_optimization_of.pdf,Modeling_and_parametric_optimization_of.pdf,skip-pattern-or-unknown
N1-P-066601-1717083711-mIU1.pdf,N1-P-066601-1717083711-mIU1.pdf,skip-pattern-or-unknown
Process_Parameter_Optimization_of_3_D_Pr.pdf,Process_Parameter_Optimization_of_3_D_Pr.pdf,skip-pattern-or-unknown
Sharma_2021_IOP_Conf._Ser.__Mater._Sci._Eng._1168_012022.pdf,Sharma - IOP Conf. Ser. Mater. Sci. Eng. 012022.pdf,renamed
Shirmohammadi2021_Article_OptimizationOf3DPrintingProces.pdf,Shirmohammadi2021_Article_OptimizationOf3DPrintingProces.pdf,skip-pattern-or-unknown
Using artificial.pdf,Using artificial.pdf,skip-pattern-or-unknown
Void3DEducationProposta_Silva_2025.pdf,Silva - Void3deducationproposta.pdf,renamed
ai for 3d printing_revised_accepted version.pdf,ai for 3d printing_revised_accepted version.pdf,skip-pattern-or-unknown
applsci-12-08753.pdf,applsci-12-08753.pdf,skip-pattern-or-unknown
asi-05-00007-v2.pdf,asi-05-00007-v2.pdf,skip-pattern-or-unknown
asi-05-00112-v2.pdf,asi-05-00112-v2.pdf,skip-pattern-or-unknown
electronics-13-03550-v2.pdf,electronics-13-03550-v2.pdf,skip-pattern-or-unknown
jmmp-03-00064.pdf,jmmp-03-00064.pdf,skip-pattern-or-unknown
jmmp-09-00338.pdf,jmmp-09-00338.pdf,skip-pattern-or-unknown
joss.06465.pdf,joss.06465.pdf,skip-pattern-or-unknown
kam-et-al-2021-investigation-of-the-effect-of-fdm-process-parameters-on-mechanical-properties-of-3d-printed-pa12.pdf,kam-et-al-2021-investigation-of-the-effect-of-fdm-process-parameters-on-mechanical-properties-of-3d-printed-pa12.pdf,skip-pattern-or-unknown
materials-16-03392.pdf,materials-16-03392.pdf,skip-pattern-or-unknown
micromachines-11-00633-v2.pdf,micromachines-11-00633-v2.pdf,skip-pattern-or-unknown
nbnfioulu-202404052565.pdf,nbnfioulu-202404052565.pdf,skip-pattern-or-unknown
out.pdf,out.pdf,skip-pattern-or-unknown
pap_indexive15943013372147483647.pdf,pap_indexive15943013372147483647.pdf,skip-pattern-or-unknown
polymers-13-02190-v2.pdf,polymers-13-02190-v2.pdf,skip-pattern-or-unknown
polymers-15-03787.pdf,polymers-15-03787.pdf,skip-pattern-or-unknown
"rvillafuerte,+13268.pdf","rvillafuerte,+13268.pdf",skip-pattern-or-unknown
s41598-025-01016-z.pdf,s41598-025-01016-z.pdf,skip-pattern-or-unknown
s41598-025-14484-0.pdf,s41598-025-14484-0.pdf,skip-pattern-or-unknown
sigradi2024_185.pdf,sigradi2024_185.pdf,skip-pattern-or-unknown
tv_26_2019_4_1164-1170.pdf,tv_26_2019_4_1164-1170.pdf,skip-pattern-or-unknown
v1.pdf,v1.pdf,skip-pattern-or-unknown
